,title,headline
0,How to Be an Organized Artist1,"##STEP##Keep related supplies in the same area.,##STEP##Make an effort to clean a dedicated workspace after every session.,##STEP##Place loose supplies in large, clearly visible containers.,##STEP##Use clotheslines and clips to hang sketches, photos, and reference material.,##STEP##Use every inch of the room for storage, especially vertical space.,##STEP##Use chalkboard paint to make space for drafting ideas right on the walls.,##STEP##Purchase a label maker to make your organization strategy semi-permanent.,##STEP##Make a habit of throwing out old, excess, or useless stuff each month."
1,How to Create a Neopoprealist Art Work,"##STEP##Create a sketch in the NeoPopRealist manner of the future mural on a small piece of paper 8""x10"" using the black ink pen.,##STEP##Prepare to create your NeoPopRealist mural.,##STEP##Prepare your paint.,##STEP##Begin your project with a design.,##STEP##Produce a scaled down version of your finished mural.,##STEP##Prepare the wall to be painted.,##STEP##After you have primed the surface, measure the wall.,##STEP##Paint in the base coat of the background.,##STEP##Allow the background and base coats to dry.,##STEP##Draw the lines, then fill the appeared section with different repetitive patterns (examine the images above).,##STEP##Paint patterns with brushes of suitable size for the particular portion of work you are painting.,##STEP##Clean up the lines and shapes as needed.,##STEP##Seal the mural if needed.,##STEP##Be inspired and it will help you succeed!"
2,How to Be a Visual Effects Artist1,"##STEP##Get a bachelor’s degree.,##STEP##Enroll in a studio-based program.,##STEP##Train on a number of VFX computer programs.,##STEP##Watch online tutorials.,##STEP##Nurture your artistic side.,##STEP##Pay close attention to movies, television shows, and video games.,##STEP##Develop a specialization."
3,How to Become an Art Investor,"##STEP##Start with some experience or interest in art.,##STEP##Understand the difference between art collectors, art investors and art speculators.,##STEP##Figure out what you are willing to pay for art, before going to an auction house.,##STEP##Pay attention to what schools of art are selling well, and which are down.,##STEP##Focus art investments on fine art paintings, rather than decorative art.,##STEP##Reach out to trusted auction houses and dealers when you are looking to buy art.,##STEP##Buy your investment art when you feel confident of its worth, its price and its ability to grow in value.,##STEP##Study how art is properly stored.,##STEP##Have your art investments appraised occasionally.,##STEP##Consider renting out your art investments.,##STEP##Understand that selling an art investment can take time."
4,How to Be an Organized Artist2,"##STEP##Keep your reference materials, sketches, articles, photos, etc, in one easy to find place.,##STEP##Make ""studies,"" or practice sketches, to organize effectively for larger projects.,##STEP##Limit the supplies you leave out to the project at hand.,##STEP##Keep an updated list of all of the necessary supplies, and the quantities of each.,##STEP##Break down bigger works into more easily completed parts."
5,How to Be an Organized Artist3,"##STEP##Keep all of your past work organized and accessible.,##STEP##Record all of your artistic contacts and connections in one place.,##STEP##Log the costs of supplies needed for each project.,##STEP##Find out how much it costs you to make and sell each piece.,##STEP##Pay attention to what other, similar works of art are selling for.,##STEP##Consider the ""cost"" of your time when pricing work."
6,How to Be a Visual Effects Artist2,"##STEP##Create a compelling reel or portfolio.,##STEP##Land an internship.,##STEP##Consider self-employment.,##STEP##Sign on with a design company or studio.,##STEP##Move up to a supervisor position."
7,How to Be a Visual Effects Artist3,"##STEP##Join a professional society.,##STEP##Enjoy working with a team.,##STEP##Expect long work hours.,##STEP##Spend time on a TV or film set."
8,How to Be Good at Improvisation,"##STEP##Make sure you know what is expected of you.,##STEP##Stick to your topic.,##STEP##Don't try to be to be funny unless the scenario calls for it.,##STEP##Act naturally for the situation; talk, act and sit as your character would usually do in the circumstances.,##STEP##Participate.,##STEP##Don't react to what others say as yourself, stay in character.,##STEP##Don't make anything violent or too crazy.,##STEP##Relax and enjoy yourself.,##STEP##Be your character.,##STEP##Play games that allow you to practice improvisation."
9,How to Always Catch Pop Culture References1,"##STEP##Make a list of what your friends watch, read, and listen to now.,##STEP##Go online to check celebrity gossip.,##STEP##Watch popular TV shows to be in the know.,##STEP##Check Top 100 charts to see what music is popular now.,##STEP##Go to the movies whenever something exciting is released.,##STEP##Follow your favorite celebrities on Twitter and Instagram.,##STEP##Vary your interests to avoid missing references.,##STEP##Listen to podcasts about pop culture."
